FID,OBJECTID,STATE,FIPS,FENAME,CNTYFIPS,SHAPE_Leng,CAMPNAME,NAME,SHAPE_Length,SHAPE_Area
69,160,48,49,BROWN,48049,216222.4134,,,2.08008677,2468146042
70,37,48,43,BREWSTER,48043,624665.3419,,,5.998275534,15982320851
71,161,48,399,RUNNELS,48399,209058.9704,,,2.040612464,2726607583
72,38,48,487,WILBARGER,48487,254919.678,,,2.481553645,2528607851
73,162,48,83,COLEMAN,48083,278151.6235,,,2.676597488,3305150142
74,39,48,485,WICHITA,48485,187064.7372,,,1.855357655,1636218080
75,163,48,161,FREESTONE,48161,252735.1251,,,2.493838501,2300953114
76,40,48,9,ARCHER,48009,195615.3921,,,1.939516627,2391607461
77,164,48,193,HAMILTON,48193,200483.0036,,,1.979270933,2157152170
78,41,48,23,BAYLOR,48023,193037.194,,,1.912712676,2327615864
79,165,48,347,NACOGDOCHES,48347,394783.2931,,,3.901646942,2530955259
80,42,48,503,YOUNG,48503,196406.4567,,,1.941854681,2403307354
81,166,48,309,MCLENNAN,48309,211118.1702,,,2.088743496,2734404294
82,43,48,447,THROCKMORTON,48447,194485.5523,,,1.921603902,2363608968
83,167,48,293,LIMESTONE,48293,198015.1403,,,1.941471352,2406666317
84,44,48,333,MILLS,48333,246701.6873,,,2.43022156,1933991218
85,45,48,95,CONCHO,48095,221982.5603,,,2.163868856,2562733987
86,168,48,405,SAN AUGUSTINE,48405,257281.393,,,2.526189817,1527344533
87,46,48,307,MCCULLOCH,48307,253698.2733,,,2.433856245,2768204461
88,169,48,99,CORYELL,48099,209113.7451,,,2.053884987,2725344992
89,47,48,411,SAN SABA,48411,318130.0274,,,3.10893362,2935595523
90,170,48,289,LEON,48289,294165.7218,,,2.906485122,2786312334
91,48,48,327,MENARD,48327,203967.5487,,,2.017376927,2327023600
92,171,48,451,TOM GREEN,48451,352375.0741,,,3.513307656,3973107796
93,49,48,319,MASON,48319,197153.3954,,,1.92356156,2404341430
94,172,48,225,HOUSTON,48225,317434.6831,,,3.152031507,3189817309
95,50,48,299,LLANO,48299,234722.8556,,,2.323639793,2492034803
